Include_In_Regression,Y2_Monthly_Spend_EUR,lnY,Y1_Per_Purchase_EUR,Employment_Code,Emp_M_StudentWorking,Emp_M_Employed,Monthly_Income,Disposable_Income,Shopping_Frequency,Hours_Online_Daily,Why_Convenient,Why_SavesTime,Why_BetterPrices,Why_Habit,Why_Browsing,Why_Hobbies,Why_Curious,Why_SocialMediaTrend,Avg_WhyShopOnline,Avg_Convenience_Motive,Avg_Hedonic_Motive,Inf_Price,Inf_Quality,Inf_Reviews,Inf_SocialMedia,Inf_OnlineAds,Inf_Recommendations,Inf_Brand,Inf_WebsiteDesign,Avg_PurchaseInfluences,Avg_Rational_Influences,Avg_Social_Influences,Cat_Clothing,Cat_Technology_Electronics,Cat_Home_Items,Cat_Kitchen_Items,Cat_Beauty_Personal_Care,Cat_Entertainment,Cat_Merchandise,Cat_Food,Cat_Other
1,125,4.8283137373023015,63.0,1,0,0,,,3,5,4,4,5,2,5,3,4,3,3.75,3.75,3.75,5,5,5,4,2,5,3,4,4.12,5.0,3.6,1,1,1,1,0,1,1,0,0
1,175,5.1647859739235145,88.0,2,1,0,2.0,2.0,2,3,4,4,4,4,4,3,3,3,3.62,4.0,3.25,4,5,1,2,3,4,5,4,3.5,3.333,3.6,1,0,0,0,0,1,0,0,0
1,175,5.1647859739235145,63.0,2,1,0,1.0,1.0,3,2,5,5,5,5,5,5,1,4,4.38,5.0,3.75,5,5,4,4,4,4,5,4,4.38,4.667,4.2,1,0,1,0,1,1,0,0,0
0,225,5.41610040220442,125.0,5,0,0,5.0,4.0,3,5,5,5,3,1,1,4,5,1,3.12,3.5,2.75,2,4,5,1,4,5,3,4,3.5,3.667,3.4,0,1,0,0,0,0,0,0,0
1,175,5.1647859739235145,88.0,2,1,0,1.0,,3,3,4,4,5,5,5,5,5,4,4.62,4.5,4.75,3,4,4,4,2,4,4,2,3.38,3.667,3.2,1,0,0,0,1,0,0,0,0
1,175,5.1647859739235145,88.0,2,1,0,1.0,2.0,2,2,5,5,4,2,4,2,2,1,3.12,4.0,2.25,5,5,5,2,1,4,4,4,3.75,5.0,3.0,1,0,0,0,1,0,0,0,0
1,75,4.31748811353631,125.0,2,1,0,3.0,1.0,1,1,4,4,4,4,4,4,4,4,4.0,4.0,4.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,0,1,0,1,0,0,0,0,0
1,75,4.31748811353631,63.0,4,0,1,3.0,1.0,3,2,4,4,3,2,4,4,2,1,3.0,3.25,2.75,5,5,4,1,1,5,4,3,3.5,4.667,2.8,0,1,0,0,0,0,0,0,0
1,75,4.31748811353631,88.0,3,0,1,2.0,1.0,2,2,4,4,4,2,4,4,2,2,3.25,3.5,3.0,4,4,4,2,3,4,4,3,3.5,4.0,3.2,0,1,0,0,0,0,0,0,0
1,75,4.31748811353631,63.0,4,0,1,3.0,3.0,1,1,4,4,3,3,2,3,2,1,2.75,3.5,2.0,5,5,5,1,1,5,3,1,3.25,5.0,2.2,0,0,0,0,1,0,0,0,0
1,75,4.31748811353631,63.0,2,1,0,1.0,1.0,3,1,5,5,4,4,2,4,4,2,3.75,4.5,3.0,4,4,5,2,2,5,4,4,3.75,4.333,3.4,0,0,1,0,1,1,0,0,0
1,75,4.31748811353631,63.0,4,0,1,3.0,4.0,1,2,3,4,3,1,2,3,3,1,2.5,2.75,2.25,4,5,2,3,3,5,4,2,3.5,3.667,3.4,1,1,0,0,0,0,0,0,0
1,75,4.31748811353631,63.0,2,1,0,1.0,1.0,1,3,4,4,5,3,3,5,3,1,3.5,4.0,3.0,4,5,4,2,2,4,4,3,3.5,4.333,3.0,0,0,0,0,0,1,0,0,0
1,75,4.31748811353631,63.0,4,0,1,3.0,3.0,2,4,4,4,5,3,4,3,3,3,3.62,4.0,3.25,5,4,4,4,3,4,4,4,4.0,4.333,3.8,1,1,1,1,1,1,0,0,0
1,75,4.31748811353631,63.0,1,0,0,1.0,1.0,2,5,5,5,5,4,5,2,2,4,4.0,4.75,3.25,5,4,5,4,2,5,2,1,3.5,4.667,2.8,1,1,0,0,1,0,0,0,0
0,75,4.31748811353631,63.0,6,0,0,,2.0,1,3,5,5,5,3,3,4,5,2,4.0,4.5,3.5,4,5,5,3,4,5,4,4,4.25,4.667,4.0,0,0,0,0,1,0,0,0,0
1,75,4.31748811353631,63.0,1,0,0,2.0,1.0,1,3,1,1,1,3,1,3,1,2,1.62,1.5,1.75,4,4,4,3,3,3,3,3,3.38,4.0,3.0,0,1,1,1,0,1,0,0,0
1,75,4.31748811353631,63.0,1,0,0,1.0,1.0,2,1,2,3,3,2,3,2,2,1,2.25,2.5,2.0,3,2,1,1,1,3,3,3,2.12,2.0,2.2,1,1,1,0,1,0,0,0,0
1,75,4.31748811353631,63.0,4,0,1,3.0,3.0,2,2,4,4,3,1,2,2,4,3,2.88,3.0,2.75,4,5,5,3,3,5,4,4,4.12,4.667,3.8,1,1,0,0,0,0,0,0,0
1,75,4.31748811353631,63.0,2,1,0,1.0,1.0,1,3,4,3,4,2,1,4,5,1,3.0,3.25,2.75,4,5,4,1,2,3,1,3,2.88,4.333,2.0,1,0,0,0,0,0,0,0,0
1,25,3.2188758248682006,63.0,2,1,0,1.0,1.0,1,1,4,5,5,3,5,1,1,1,3.12,4.25,2.0,5,4,4,1,1,4,4,1,3.0,4.333,2.2,1,1,0,0,0,0,0,0,0
1,25,3.2188758248682006,88.0,2,1,0,1.0,2.0,2,2,4,4,2,3,4,2,3,2,3.0,3.25,2.75,5,4,5,2,2,5,4,4,3.88,4.667,3.4,0,1,0,0,0,1,0,0,0
1,25,3.2188758248682006,63.0,2,1,0,1.0,2.0,1,2,5,5,5,2,4,3,4,2,3.75,4.25,3.25,5,4,5,3,2,3,3,4,3.62,4.667,3.0,0,0,0,0,1,1,0,0,0
1,25,3.2188758248682006,63.0,1,0,0,1.0,1.0,1,1,5,5,4,3,5,4,3,3,4.0,4.25,3.75,4,4,4,3,3,5,2,4,3.62,4.0,3.4,1,1,0,0,1,0,0,0,0
0,25,3.2188758248682006,63.0,6,0,0,1.0,1.0,1,5,4,4,4,4,5,4,5,4,4.25,4.0,4.5,3,4,5,3,4,5,4,4,4.0,4.0,4.0,0,1,0,0,0,1,0,0,0
1,25,3.2188758248682006,63.0,3,0,1,2.0,1.0,1,3,4,4,5,2,3,2,1,1,2.75,3.75,1.75,5,5,4,4,3,4,3,4,4.0,4.667,3.6,1,0,0,0,0,1,0,0,0
1,25,3.2188758248682006,63.0,1,0,0,1.0,1.0,1,3,5,5,3,2,2,2,3,1,2.88,3.75,2.0,5,4,5,2,3,4,2,4,3.62,4.667,3.0,1,1,0,0,0,1,0,0,0
1,25,3.2188758248682006,63.0,1,0,0,1.0,1.0,1,2,5,5,4,4,4,3,3,3,3.88,4.5,3.25,5,4,3,4,4,3,4,3,3.75,4.0,3.6,1,0,0,0,1,0,0,0,0
1,25,3.2188758248682006,88.0,2,1,0,1.0,1.0,1,5,4,4,4,4,4,2,3,3,3.5,4.0,3.0,4,5,4,3,3,4,3,3,3.62,4.333,3.2,1,0,0,0,0,0,0,0,0
1,175,5.1647859739235145,38.0,4,0,1,3.0,2.0,2,1,4,4,4,3,5,2,2,4,3.5,3.75,3.25,4,3,3,4,2,5,5,3,3.62,3.333,3.8,1,1,0,0,1,1,0,0,0
1,225,5.41610040220442,38.0,4,0,1,4.0,4.0,5,3,4,4,5,4,3,4,3,2,3.62,4.25,3.0,4,4,3,3,4,3,3,2,3.25,3.667,3.0,0,1,1,0,0,1,0,1,0
1,75,4.31748811353631,38.0,2,1,0,1.0,2.0,2,2,2,4,4,4,3,4,3,5,3.62,3.5,3.75,4,2,2,3,3,3,2,2,2.62,2.667,2.6,0,0,1,1,0,0,0,0,0
1,75,4.31748811353631,38.0,2,1,0,1.0,1.0,2,4,4,4,4,3,4,4,4,3,3.75,3.75,3.75,5,4,3,3,3,4,2,3,3.38,4.0,3.0,1,0,0,0,1,0,0,0,0
1,75,4.31748811353631,38.0,4,0,1,2.0,2.0,2,2,5,5,4,2,3,1,2,3,3.12,4.0,2.25,4,5,3,4,4,5,2,4,3.88,4.0,3.8,0,1,1,0,1,0,0,0,0
1,75,4.31748811353631,38.0,4,0,1,3.0,3.0,3,5,5,4,5,1,3,3,4,1,3.25,3.75,2.75,5,5,5,3,1,4,4,3,3.75,5.0,3.0,0,1,1,0,0,1,0,0,0
1,75,4.31748811353631,38.0,3,0,1,3.0,3.0,2,2,5,5,5,2,4,2,3,1,3.38,4.25,2.5,4,4,4,2,1,5,2,3,3.12,4.0,2.6,1,1,1,1,1,1,0,0,0
1,75,4.31748811353631,38.0,2,1,0,3.0,3.0,1,2,5,5,3,1,5,1,1,3,3.0,3.5,2.5,5,5,5,2,1,5,3,3,3.62,5.0,2.8,1,0,0,0,0,0,0,0,0
1,75,4.31748811353631,38.0,1,0,0,1.0,1.0,2,1,4,4,4,3,1,3,4,2,3.12,3.75,2.5,5,5,4,3,3,5,3,4,4.0,4.667,3.6,1,1,0,0,0,1,0,0,0
1,75,4.31748811353631,38.0,2,1,0,1.0,1.0,2,2,4,4,5,2,2,5,3,1,3.25,3.75,2.75,4,5,5,2,2,4,3,3,3.5,4.667,2.8,0,1,0,0,0,1,0,0,0
1,75,4.31748811353631,38.0,4,0,1,3.0,4.0,3,2,5,5,5,2,3,2,2,1,3.12,4.25,2.0,5,5,5,2,1,4,2,4,3.5,5.0,2.6,1,0,0,0,1,1,0,0,0
1,75,4.31748811353631,38.0,3,0,1,1.0,,2,3,5,5,4,3,5,5,4,3,4.25,4.25,4.25,4,4,5,3,2,4,3,3,3.5,4.333,3.0,0,0,0,0,0,1,1,0,0
1,75,4.31748811353631,38.0,1,0,0,1.0,1.0,2,3,5,2,4,3,4,4,4,3,3.62,3.5,3.75,4,5,4,2,2,4,3,4,3.5,4.333,3.0,1,0,0,0,0,1,0,0,0
1,75,4.31748811353631,38.0,2,1,0,2.0,1.0,2,2,3,3,4,2,3,3,4,4,3.25,3.0,3.5,4,4,5,4,5,4,4,4,4.25,4.333,4.2,1,0,1,0,0,0,0,0,0
1,75,4.31748811353631,38.0,2,1,0,2.0,2.0,2,1,4,5,4,4,2,3,3,3,3.5,4.25,2.75,5,5,5,4,2,5,3,4,4.12,5.0,3.6,1,0,1,0,1,0,0,0,0
1,75,4.31748811353631,12.5,4,0,1,2.0,2.0,2,1,4,5,5,3,1,1,1,3,2.88,4.25,1.5,5,3,4,3,3,5,3,4,3.75,4.0,3.6,1,0,0,0,0,0,0,0,0
1,75,4.31748811353631,38.0,2,1,0,1.0,1.0,2,3,4,4,5,3,5,4,3,3,3.88,4.0,3.75,4,3,3,4,3,2,5,4,3.5,3.333,3.6,1,0,1,0,1,0,0,0,0
0,75,4.31748811353631,12.5,6,0,0,2.0,1.0,2,2,5,5,5,3,3,2,2,3,3.5,4.5,2.5,4,4,5,3,3,5,4,4,4.0,4.333,3.8,0,1,0,0,0,0,1,0,0
1,75,4.31748811353631,38.0,1,0,0,1.0,1.0,2,4,5,5,5,4,3,3,3,3,3.88,4.75,3.0,5,5,5,4,3,4,4,3,4.12,5.0,3.6,1,0,0,0,1,0,0,0,0
1,75,4.31748811353631,12.5,4,0,1,4.0,4.0,2,2,3,5,2,2,4,3,2,1,2.75,3.0,2.5,4,4,2,2,2,3,2,4,2.88,3.333,2.6,1,0,0,0,0,0,0,0,0
1,75,4.31748811353631,12.5,4,0,1,3.0,4.0,3,3,4,4,2,3,2,1,4,2,2.75,3.25,2.25,5,5,5,3,2,4,4,4,4.0,5.0,3.4,0,0,1,0,1,1,0,0,0
1,75,4.31748811353631,12.5,2,1,0,2.0,1.0,3,3,5,5,4,4,5,4,3,4,4.25,4.5,4.0,5,4,4,4,3,3,4,2,3.62,4.333,3.2,1,1,0,0,1,0,0,0,0
1,75,4.31748811353631,38.0,2,1,0,2.0,1.0,3,2,4,4,4,3,1,3,4,5,3.5,3.75,3.25,5,4,3,4,5,4,5,3,4.12,4.0,4.2,0,1,0,0,0,0,0,0,0
1,75,4.31748811353631,12.5,2,1,0,1.0,,2,3,4,4,4,3,3,4,4,4,3.75,3.75,3.75,4,4,4,4,3,4,3,3,3.62,4.0,3.4,1,0,0,0,1,0,0,0,0
1,75,4.31748811353631,38.0,2,1,0,1.0,1.0,1,3,4,3,3,2,4,5,3,4,3.5,3.0,4.0,4,5,4,4,3,3,4,2,3.62,4.333,3.2,1,0,0,0,1,0,0,0,0
1,75,4.31748811353631,38.0,2,1,0,1.0,2.0,2,2,4,4,4,4,3,4,4,4,3.88,4.0,3.75,4,3,4,4,4,4,4,3,3.75,3.667,3.8,1,1,0,0,0,0,0,0,0
1,75,4.31748811353631,12.5,4,0,1,2.0,2.0,2,2,5,5,3,3,4,3,4,2,3.62,4.0,3.25,5,5,4,3,2,4,3,3,3.62,4.667,3.0,1,1,0,0,1,1,0,0,0
1,25,3.2188758248682006,38.0,1,0,0,1.0,1.0,3,1,4,4,4,3,3,2,3,2,3.12,3.75,2.5,4,4,4,1,1,4,1,3,2.75,4.0,2.0,1,1,0,0,1,0,0,0,0
1,25,3.2188758248682006,12.5,4,0,1,2.0,1.0,2,2,5,5,3,4,3,3,1,2,3.25,4.25,2.25,5,4,4,1,1,4,2,2,2.88,4.333,2.0,1,1,1,0,0,0,0,0,0
1,25,3.2188758248682006,12.5,2,1,0,1.0,1.0,1,2,2,3,3,1,4,4,3,1,2.62,2.25,3.0,5,4,5,2,2,5,5,4,4.0,4.667,3.6,1,0,0,0,0,1,0,0,0
1,25,3.2188758248682006,12.5,1,0,0,1.0,1.0,2,3,4,4,5,5,5,5,4,2,4.25,4.5,4.0,5,4,5,2,5,2,2,2,3.38,4.667,2.6,1,0,0,1,0,1,0,0,0
1,25,3.2188758248682006,12.5,1,0,0,1.0,1.0,2,4,3,3,4,2,2,5,2,2,2.88,3.0,2.75,5,4,4,2,3,3,2,1,3.0,4.333,2.2,0,0,0,0,0,1,0,0,0
1,25,3.2188758248682006,12.5,1,0,0,1.0,,1,1,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4.0,4.0,4.0,1,0,0,0,0,0,0,0,0
1,25,3.2188758248682006,38.0,3,0,1,1.0,1.0,1,3,4,4,4,1,2,2,1,1,2.38,3.25,1.5,4,4,4,2,4,4,2,2,3.25,4.0,2.8,1,0,0,0,0,0,0,0,0
1,25,3.2188758248682006,12.5,4,0,1,4.0,3.0,1,1,3,3,3,3,3,5,3,3,3.25,3.0,3.5,3,3,3,3,3,3,3,3,3.0,3.0,3.0,0,0,0,0,0,1,0,0,0
1,25,3.2188758248682006,38.0,4,0,1,3.0,4.0,1,2,4,4,3,4,4,3,3,2,3.38,3.75,3.0,4,5,5,2,2,4,4,3,3.62,4.667,3.0,1,1,0,0,0,1,0,0,0
1,25,3.2188758248682006,12.5,2,1,0,1.0,4.0,1,2,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0
1,25,3.2188758248682006,38.0,2,1,0,1.0,1.0,1,2,3,4,4,1,4,4,2,1,2.88,3.0,2.75,5,5,5,4,3,5,4,5,4.5,5.0,4.2,1,1,1,0,0,1,0,0,0
